행정구역,계_0~4세,계_5~9세,계_10~14세,계_15~19세,계_20~24세,계_25~29세,계_30~34세,계_35~39세,계_40~44세,계_45~49세,계_50~54세,계_55~59세,계_60~64세,계_65~69세,계_70~74세,계_75~79세,계_80~84세,계_85~89세,계_90~94세,계_95~99세,계_100세 이상,남_총인구수,남_연령구간인구수,남_0~4세,남_5~9세,남_10~14세,남_15~19세,남_20~24세,남_25~29세,남_30~34세,남_35~39세,남_40~44세,남_45~49세,남_50~54세,남_55~59세,남_60~64세,남_65~69세,남_70~74세,남_75~79세,남_80~84세,남_85~89세,남_90~94세,남_95~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~4세,여_5~9세,여_10~14세,여_15~19세,여_20~24세,여_25~29세,여_30~34세,여_35~39세,여_40~44세,여_45~49세,여_50~54세,여_55~59세,여_60~64세,여_65~69세,여_70~74세,여_75~79세,여_80~84세,여_85~89세,여_90~94세,여_95~99세,여_100세 이상
서울특별시  (1100000000),"253,957","345,643","370,120","394,832","615,727","824,757","729,213","720,221","730,823","766,531","795,784","709,961","727,298","546,892","400,713","295,739","193,771","92,740","33,062","7,892","2,477","4,645,177","4,645,177","130,716","177,032","190,154","201,795","292,653","402,665","363,889","360,314","362,536","379,348","392,276","349,409","345,778","256,056","184,277","132,894","80,697","31,713","8,545","1,814",616,"4,912,976","4,912,976","123,241","168,611","179,966","193,037","323,074","422,092","365,324","359,907","368,287","387,183","403,508","360,552","381,520","290,836","216,436","162,845","113,074","61,027","24,517","6,078","1,861"
서울특별시 종로구 (1111000000),"2,893","4,337","5,007","5,615","10,123","12,916","10,181","9,403","9,961","11,380","12,961","11,929","11,559","8,662","6,309","5,465","4,006","1,989",739,204,53,"70,810","70,810","1,453","2,190","2,496","2,783","4,683","6,496","5,131","4,608","4,831","5,562","6,439","6,137","5,770","4,287","2,859","2,353","1,665",759,220,72,16,"74,882","74,882","1,440","2,147","2,511","2,832","5,440","6,420","5,050","4,795","5,130","5,818","6,522","5,792","5,789","4,375","3,450","3,112","2,341","1,230",519,132,37
서울특별시 중구 (1114000000),"3,059","3,411","3,123","3,519","7,390","10,915","10,234","9,707","8,837","8,787","10,323","9,868","10,094","7,698","5,708","4,625","3,143","1,646",655,150,59,"59,945","59,945","1,575","1,777","1,551","1,745","3,336","5,205","5,073","4,895","4,533","4,462","5,200","5,026","5,113","3,787","2,669","1,996","1,247",518,186,35,16,"63,006","63,006","1,484","1,634","1,572","1,774","4,054","5,710","5,161","4,812","4,304","4,325","5,123","4,842","4,981","3,911","3,039","2,629","1,896","1,128",469,115,43
서울특별시 용산구 (1117000000),"6,021","7,066","7,061","8,016","13,590","19,898","19,639","18,474","17,012","17,546","19,250","17,180","16,782","12,191","8,988","7,311","5,508","2,975","1,077",303,89,"108,709","108,709","3,106","3,620","3,544","4,080","6,330","9,445","9,746","9,172","8,411","8,601","9,409","8,580","8,172","5,764","4,055","3,067","2,157","1,009",322,92,27,"117,268","117,268","2,915","3,446","3,517","3,936","7,260","10,453","9,893","9,302","8,601","8,945","9,841","8,600","8,610","6,427","4,933","4,244","3,351","1,966",755,211,62
서울특별시 성동구 (1120000000),"9,581","10,168","9,027","10,284","19,047","25,196","23,385","24,158","22,018","21,818","24,152","22,346","22,011","15,286","11,358","8,846","5,986","2,827",928,201,80,"140,811","140,811","4,904","5,179","4,597","5,032","9,145","12,693","11,157","12,152","11,198","10,772","11,884","11,262","10,946","7,271","5,180","3,820","2,366",942,235,47,29,"147,892","147,892","4,677","4,989","4,430","5,252","9,902","12,503","12,228","12,006","10,820","11,046","12,268","11,084","11,065","8,015","6,178","5,026","3,620","1,885",693,154,51
서울특별시 광진구 (1121500000),"7,716","10,724","12,102","13,108","25,604","36,674","29,242","25,775","24,906","26,290","28,256","25,543","25,504","18,178","12,642","9,401","6,288","2,881",960,244,73,"165,039","165,039","3,932","5,500","6,163","6,590","11,601","17,543","14,512","12,781","12,274","12,939","13,682","12,656","12,173","8,618","5,807","4,288","2,677",957,268,59,19,"177,072","177,072","3,784","5,224","5,939","6,518","14,003","19,131","14,730","12,994","12,632","13,351","14,574","12,887","13,331","9,560","6,835","5,113","3,611","1,924",692,185,54
서울특별시 동대문구 (1123000000),"8,940","10,972","10,986","12,148","25,711","30,474","24,448","24,758","24,325","25,037","27,254","25,010","26,641","20,495","15,236","12,242","8,039","3,712","1,170",269,79,"167,252","167,252","4,543","5,679","5,619","6,113","11,743","15,896","12,580","12,818","12,541","12,882","13,820","12,702","13,018","9,821","7,004","5,438","3,318","1,306",317,74,20,"170,694","170,694","4,397","5,293","5,367","6,035","13,968","14,578","11,868","11,940","11,784","12,155","13,434","12,308","13,623","10,674","8,232","6,804","4,721","2,406",853,195,59
서울특별시 중랑구 (1126000000),"9,813","12,138","12,167","13,669","22,860","32,449","28,808","28,134","27,641","28,645","34,287","33,773","34,794","25,186","17,936","13,238","8,454","3,760","1,297",300,79,"192,355","192,355","5,044","6,288","6,193","6,923","11,362","15,997","14,683","14,611","14,557","14,533","16,876","16,789","16,996","12,109","8,305","5,911","3,560","1,248",291,59,20,"197,073","197,073","4,769","5,850","5,974","6,746","11,498","16,452","14,125","13,523","13,084","14,112","17,411","16,984","17,798","13,077","9,631","7,327","4,894","2,512","1,006",241,59
서울특별시 성북구 (1129000000),"11,744","16,484","17,453","19,125","31,959","34,171","28,462","30,658","32,259","36,265","37,609","31,431","32,119","24,148","18,093","14,629","10,030","4,618","1,644",352,108,"209,004","209,004","6,055","8,359","8,958","9,610","14,570","17,154","14,284","15,226","15,974","17,809","18,660","15,389","15,197","11,260","7,951","6,331","4,080","1,622",415,73,27,"224,357","224,357","5,689","8,125","8,495","9,515","17,389","17,017","14,178","15,432","16,285","18,456","18,949","16,042","16,922","12,888","10,142","8,298","5,950","2,996","1,229",279,81
서울특별시 강북구 (1130500000),"6,037","8,751","9,816","11,425","18,934","22,877","18,501","19,118","20,917","24,121","26,730","24,898","26,537","20,445","16,331","13,124","8,449","3,630","1,148",279,45,"147,237","147,237","3,103","4,539","5,059","5,820","8,930","11,642","9,606","10,062","10,943","12,185","13,215","12,240","12,549","9,371","7,133","5,614","3,504","1,322",318,68,14,"154,876","154,876","2,934","4,212","4,757","5,605","10,004","11,235","8,895","9,056","9,974","11,936","13,515","12,658","13,988","11,074","9,198","7,510","4,945","2,308",830,211,31
